raw_description,vat_code,cleaned_description,label
DD LINKEDIN PREMIUM 2123  ONLINE,standard_rate,dd linkedin premium 2123 online,3
iz *tesco stores 706 birmingham,zero_rated,iz tesco stores 706 birmingham,4
SQ *NATIONAL EXPRESS GLASGOW PLC,zero_rated,sq national express glasgow plc,4
edf energy london,reduced_rate,edf energy london,2
iz *lidl gb 998 glasgow ltd,zero_rated,iz lidl gb 998 glasgow ltd,4
TRAINLINE GLASGOW LTD,zero_rated,trainline glasgow ltd,4
CARD HSBC BANK FEES 248 BIRMINGHAM DIRECT REF-8917,exempt,card hsbc bank fees 248 birmingham direct ref 8917,0
Card Google Workspace 3463  Store,standard_rate,card google workspace 3463 store,3
Iz *Tfl Travel 930  Ltd,zero_rated,iz tfl travel 930 ltd,4
Card Linkedin Premium 2099  Uk,standard_rate,card linkedin premium 2099 uk,3
IZ *INTRA ACCOUNT TRANSFER  STORE,outside_scope,iz intra account transfer store,1
CARD BRITISH GAS 7307,reduced_rate,card british gas 7307,2
SQ *LNER TICKETS 6243  REF-1336,zero_rated,sq lner tickets 6243 ref 1336,4
Dd National Express 2065  Ltd Ref-9393,zero_rated,dd national express 2065 ltd ref 9393,4
POS AMAZON KINDLE GLASGOW STORE REF-4586,zero_rated,pos amazon kindle glasgow store ref 4586,4
PAYMENT TO OCTOPUS ENERGY MANCHESTER STORE,reduced_rate,payment to octopus energy manchester store,2
IZ *SAINSBURYS 5328 BIRMINGHAM PLC,zero_rated,iz sainsburys 5328 birmingham plc,4
SQ *BRITISH GAS BRISTOL STORE REF-5230,reduced_rate,sq british gas bristol store ref 5230,2
IZ *WESTMINSTER COUNCIL 7179  PLC REF-1623,outside_scope,iz westminster council 7179 plc ref 1623,1
PAYMENT TO ALDI STORES 2559 GLASGOW LTD,zero_rated,payment to aldi stores 2559 glasgow ltd,4
SQ *ALDI STORES 9470 GLASGOW ONLINE,zero_rated,sq aldi stores 9470 glasgow online,4
PAYMENT TO BARCLAYS BANK 7207 GLASGOW DIRECT,exempt,payment to barclays bank 7207 glasgow direct,0
POS UBER EATS 1883 LONDON UK,standard_rate,pos uber eats 1883 london uk,3
CARD OCTOPUS ENERGY 2381 LEEDS UK REF-5833,reduced_rate,card octopus energy 2381 leeds uk ref 5833,2
Pos Trainline Glasgow Direct Ref-1423,zero_rated,pos trainline glasgow direct ref 1423,4
"Feb 26 Beverage Distributor - Liquor ACH-6613 2,350.00 67,064.80",standard_rate,feb 26 beverage distributor liquor ach 6613 2 350 00 67 064 80,3
dd quickbooks 8426 manchester uk,standard_rate,dd quickbooks 8426 manchester uk,3
"Mar 31 Bank Service Fee - Q1 FEE-0331 399.65 104,876.15",standard_rate,mar 31 bank service fee q1 fee 0331 399 65 104 876 15,3
Iz *Linkedin Premium 2121 Uk Ltd,standard_rate,iz linkedin premium 2121 uk ltd,3
POS AA BREAKDOWN 655 GLASGOW REF-3257,exempt,pos aa breakdown 655 glasgow ref 3257,0
Waste Management Republic Services 2 $620.00,standard_rate,waste management republic services 2 620 00,3
03/09/2025 03/09/2025 AMAZON BUSINESS PRIME Other $58.58,standard_rate,03 09 2025 03 09 2025 amazon business prime other 58 58,3
Iz *Deliveroo Uk Online,standard_rate,iz deliveroo uk online,3
SQ *AMAZON EU 3105 ONLINE ONLINE REF-2565,standard_rate,sq amazon eu 3105 online online ref 2565,3
PAYMENT TO ASDA SUPERMARKET 220 ONLINE UK,zero_rated,payment to asda supermarket 220 online uk,4
CARD EON NEXT LONDON DIRECT,reduced_rate,card eon next london direct,2
POS STATIONERY STATION 7660 BIRMINGHAM ONLINE,standard_rate,pos stationery station 7660 birmingham online,3
SAGE SUBSCRIPTION 5799 ONLINE LTD REF-1484,standard_rate,sage subscription 5799 online ltd ref 1484,3
Dd Barclays Bank 4813 Online Plc,exempt,dd barclays bank 4813 online plc,0
IZ *LIDL GB 9525 MANCHESTER DIRECT,zero_rated,iz lidl gb 9525 manchester direct,4
"2026-03-24 US FOODS 3,303.94 41,933.00",standard_rate,2026 03 24 us foods 3 303 94 41 933 00,3
sq *payroll transfer leeds uk,outside_scope,sq payroll transfer leeds uk,1
dd tesco express 2700 uk online,zero_rated,dd tesco express 2700 uk online,4
"Total Deposits & Credits $187,450.00",standard_rate,total deposits credits 187 450 00,3
POS INTRA ACCOUNT TRANSFER  UK REF-5144,outside_scope,pos intra account transfer uk ref 5144,1
Adobe Creative 5174  Online,standard_rate,adobe creative 5174 online,3
"Jan 22 ADP Payroll Processing ACH-3302 8,450.00 34,544.80",standard_rate,jan 22 adp payroll processing ach 3302 8 450 00 34 544 80,3
Director Drawings 4300 Uk Direct Ref-1980,outside_scope,director drawings 4300 uk direct ref 1980,1
PAYMENT TO AMAZON KINDLE 8537 BIRMINGHAM ONLINE REF-9722,zero_rated,payment to amazon kindle 8537 birmingham online ref 9722,4
POS WATERSTONES 6728  UK,zero_rated,pos waterstones 6728 uk,4
Quickbooks Glasgow Ltd Ref-9569,standard_rate,quickbooks glasgow ltd ref 9569,3
PAYMENT TO GOOGLE WORKSPACE 7686 ONLINE PLC REF-2705,standard_rate,payment to google workspace 7686 online plc ref 2705,3
"Mar 31 Bank Service Fee - Q1 FEE-0331 399.65 104,876.15",standard_rate,mar 31 bank service fee q1 fee 0331 399 65 104 876 15,3
PAYMENT TO BOOTS UK 656 LONDON UK REF-2481,standard_rate,payment to boots uk 656 london uk ref 2481,3
ASDA SUPERMARKET MANCHESTER UK,zero_rated,asda supermarket manchester uk,4
POS LIDL GB 8670  DIRECT,zero_rated,pos lidl gb 8670 direct,4
CARD HMRC PAYMENTS 9250 LEEDS STORE REF-6990,outside_scope,card hmrc payments 9250 leeds store ref 6990,1
"Mar 25 Beverage Distributor - Liquor ACH-6614 2,580.00 82,774.80",standard_rate,mar 25 beverage distributor liquor ach 6614 2 580 00 82 774 80,3
MICROSOFT 365 2343  DIRECT REF-5060,standard_rate,microsoft 365 2343 direct ref 5060,3
PAYMENT TO BARCLAYS BANK ONLINE DIRECT,exempt,payment to barclays bank online direct,0
DD ADOBE CREATIVE BRISTOL PLC,standard_rate,dd adobe creative bristol plc,3
PAYMENT TO AVIVA INSURANCE 7149 BIRMINGHAM LTD REF-2446,exempt,payment to aviva insurance 7149 birmingham ltd ref 2446,0
IZ *ADOBE CREATIVE 4868  LTD,standard_rate,iz adobe creative 4868 ltd,3
SQ *HMRC SHIPLEY 4197  DIRECT REF-1303,outside_scope,sq hmrc shipley 4197 direct ref 1303,1
IZ *NATIONAL EXPRESS 3849 LONDON STORE REF-2943,zero_rated,iz national express 3849 london store ref 2943,4
Sq *Adobe Creative 3573 Bristol Direct Ref-4001,standard_rate,sq adobe creative 3573 bristol direct ref 4001,3
"2026-03-04 CLOVER SALES DEPOSIT 2,815.45 40,486.64",standard_rate,2026 03 04 clover sales deposit 2 815 45 40 486 64,3
iz *sainsburys 4002  uk,zero_rated,iz sainsburys 4002 uk,4
DD BOOTS UK 3006  REF-4843,standard_rate,dd boots uk 3006 ref 4843,3
Adobe Creative 9605 Manchester Ltd Ref-3051,standard_rate,adobe creative 9605 manchester ltd ref 3051,3
PAYMENT TO SAINSBURYS 8746  LTD REF-6134,zero_rated,payment to sainsburys 8746 ltd ref 6134,4
DD SAINSBURYS 6970 LONDON PLC,zero_rated,dd sainsburys 6970 london plc,4
POS BARCLAYS BANK  PLC,exempt,pos barclays bank plc,0
POS SAINSBURYS 1606 UK PLC REF-6432,zero_rated,pos sainsburys 1606 uk plc ref 6432,4
CARD PAYROLL TRANSFER 2405  DIRECT REF-8527,outside_scope,card payroll transfer 2405 direct ref 8527,1
DIRECTOR DRAWINGS 6213 UK PLC REF-1439,outside_scope,director drawings 6213 uk plc ref 1439,1
Iz *Asda Supermarket Leeds Ltd,zero_rated,iz asda supermarket leeds ltd,4
POST OFFICE UK DIRECT REF-1326,exempt,post office uk direct ref 1326,0
SQ *SAGE SUBSCRIPTION 8274 MANCHESTER ONLINE,standard_rate,sq sage subscription 8274 manchester online,3
IZ *TFL TRAVEL  PLC,zero_rated,iz tfl travel plc,4
POS AA BREAKDOWN 3129  STORE,exempt,pos aa breakdown 3129 store,0
dd edf energy 9628 glasgow store ref-9341,reduced_rate,dd edf energy 9628 glasgow store ref 9341,2
CARD ADOBE CREATIVE BIRMINGHAM STORE,standard_rate,card adobe creative birmingham store,3
CARD ASDA SUPERMARKET 6301 BIRMINGHAM STORE,zero_rated,card asda supermarket 6301 birmingham store,4
Payment To Octopus Energy Online Direct,reduced_rate,payment to octopus energy online direct,2
DD XERO SOFTWARE BIRMINGHAM DIRECT REF-8896,standard_rate,dd xero software birmingham direct ref 8896,3
IZ *WATERSTONES GLASGOW PLC REF-4633,zero_rated,iz waterstones glasgow plc ref 4633,4
PAYMENT TO DIRECTOR DRAWINGS 7490 MANCHESTER ONLINE REF-6909,outside_scope,payment to director drawings 7490 manchester online ref 6909,1
Card Edf Energy 2303  Plc,reduced_rate,card edf energy 2303 plc,2
CARD LIDL GB 595 GLASGOW,zero_rated,card lidl gb 595 glasgow,4
SQ *UBER EATS 9256 UK DIRECT,standard_rate,sq uber eats 9256 uk direct,3
IZ *QUICKBOOKS 248 LEEDS,standard_rate,iz quickbooks 248 leeds,3
dd xero software 7758 leeds,standard_rate,dd xero software 7758 leeds,3
PAYMENT TO WATERSTONES 9576 UK,zero_rated,payment to waterstones 9576 uk,4
trainline 8756 birmingham plc,zero_rated,trainline 8756 birmingham plc,4
POS WATERSTONES 7863 LONDON PLC,zero_rated,pos waterstones 7863 london plc,4
Pos Stationery Station 6782 Leeds Store Ref-5404,standard_rate,pos stationery station 6782 leeds store ref 5404,3
OCTOPUS ENERGY 9078 LONDON DIRECT REF-9289,reduced_rate,octopus energy 9078 london direct ref 9289,2
CARD ADOBE CREATIVE 1900  UK REF-1517,standard_rate,card adobe creative 1900 uk ref 1517,3
payment to tfl travel 7331 birmingham uk,zero_rated,payment to tfl travel 7331 birmingham uk,4
PAYMENT TO SAGE SUBSCRIPTION 1548 LEEDS,standard_rate,payment to sage subscription 1548 leeds,3
pos amazon uk  plc ref-4083,standard_rate,pos amazon uk plc ref 4083,3
SQ *WESTMINSTER COUNCIL 4855 UK REF-1494,outside_scope,sq westminster council 4855 uk ref 1494,1
CARD WESTMINSTER COUNCIL 8154 ONLINE LTD,outside_scope,card westminster council 8154 online ltd,1
dd trainline birmingham store,zero_rated,dd trainline birmingham store,4
POS PAYROLL TRANSFER UK REF-3227,outside_scope,pos payroll transfer uk ref 3227,1
STATIONERY STATION 4875  STORE,standard_rate,stationery station 4875 store,3
CARD ALDI STORES 8631 MANCHESTER DIRECT REF-4726,zero_rated,card aldi stores 8631 manchester direct ref 4726,4
POS HMRC PAYMENTS 8692 BRISTOL DIRECT REF-7567,outside_scope,pos hmrc payments 8692 bristol direct ref 7567,1
"Jan 04 POS Sales Deposit - Daily DEP-0104 3,210.50 40,709.05",standard_rate,jan 04 pos sales deposit daily dep 0104 3 210 50 40 709 05,3
Card Post Office  Ltd,exempt,card post office ltd,0
IZ *SAGE SUBSCRIPTION 5907 MANCHESTER PLC REF-9193,standard_rate,iz sage subscription 5907 manchester plc ref 9193,3
DD MICROSOFT 365 218,standard_rate,dd microsoft 365 218,3
"2025-03-20 SQUARE *LOUISVILLE BBQ DEPOSIT 4,898.47 34,086.84",standard_rate,2025 03 20 square louisville bbq deposit 4 898 47 34 086 84,3
Sq *Asda Supermarket 6053 Uk Plc Ref-4652,zero_rated,sq asda supermarket 6053 uk plc ref 4652,4
PAYMENT TO ADOBE CREATIVE 6953  UK,standard_rate,payment to adobe creative 6953 uk,3
DD DIRECTOR DRAWINGS 8866 MANCHESTER PLC,outside_scope,dd director drawings 8866 manchester plc,1
"Card Type: Chase Ink Business Cash New Balance: $3,364.36",standard_rate,card type chase ink business cash new balance 3 364 36,3
SQ *DELIVEROO  PLC,standard_rate,sq deliveroo plc,3
POS STATIONERY STATION 4689 GLASGOW UK REF-1190,standard_rate,pos stationery station 4689 glasgow uk ref 1190,3
PAYMENT TO PAYROLL TRANSFER 4346 GLASGOW LTD,outside_scope,payment to payroll transfer 4346 glasgow ltd,1
Dd Hsbc Bank Fees Uk Direct Ref-7447,exempt,dd hsbc bank fees uk direct ref 7447,0
AMAZON KINDLE BIRMINGHAM ONLINE,zero_rated,amazon kindle birmingham online,4
PAYMENT TO STATIONERY STATION 9026 ONLINE DIRECT,standard_rate,payment to stationery station 9026 online direct,3
Hmrc Shipley 7461 London Uk,outside_scope,hmrc shipley 7461 london uk,1
SQ *WESTMINSTER COUNCIL BRISTOL LTD,outside_scope,sq westminster council bristol ltd,1
payment to tesco stores online uk ref-7381,zero_rated,payment to tesco stores online uk ref 7381,4
SQ *STATIONERY STATION,standard_rate,sq stationery station,3
DD AMAZON UK  PLC,standard_rate,dd amazon uk plc,3
"This statement is generated for testing purposes only. Chase Bank N.A. | P.O. Box 15123, Wilmington, DE 19850 | Member FDIC",standard_rate,this statement is generated for testing purposes only chase bank n a p o box 15123 wilmington de 19850 member fdic,3
CARD ALDI STORES  PLC REF-3233,zero_rated,card aldi stores plc ref 3233,4
Dd Google Workspace 5981 Leeds Online Ref-6174,standard_rate,dd google workspace 5981 leeds online ref 6174,3
POS QUICKBOOKS 2952 MANCHESTER REF-2675,standard_rate,pos quickbooks 2952 manchester ref 2675,3
DD NATIONAL EXPRESS 5299 MANCHESTER PLC,zero_rated,dd national express 5299 manchester plc,4
IZ *WATERSTONES 365 GLASGOW STORE,zero_rated,iz waterstones 365 glasgow store,4
Payment To Hmrc Shipley  Ltd,outside_scope,payment to hmrc shipley ltd,1
DD BARCLAYS BANK 2198 LEEDS LTD REF-5490,exempt,dd barclays bank 2198 leeds ltd ref 5490,0
Iz *Aa Breakdown 6424 Bristol Plc,exempt,iz aa breakdown 6424 bristol plc,0
IZ *LNER TICKETS 7318 LEEDS LTD,zero_rated,iz lner tickets 7318 leeds ltd,4
SQ *INTRA ACCOUNT TRANSFER 8386  LTD,outside_scope,sq intra account transfer 8386 ltd,1
DD WESTMINSTER COUNCIL 3551 LONDON STORE,outside_scope,dd westminster council 3551 london store,1
POS LINKEDIN PREMIUM 9004 UK DIRECT,standard_rate,pos linkedin premium 9004 uk direct,3
PAYMENT TO NATIONAL EXPRESS  UK,zero_rated,payment to national express uk,4
CARD SAGE SUBSCRIPTION GLASGOW LTD REF-2769,standard_rate,card sage subscription glasgow ltd ref 2769,3
POS EON NEXT GLASGOW,reduced_rate,pos eon next glasgow,2
POS INTRA ACCOUNT TRANSFER 8898 UK,outside_scope,pos intra account transfer 8898 uk,1
IZ *MICROSOFT 365 3254  DIRECT,standard_rate,iz microsoft 365 3254 direct,3
PAYMENT TO AMAZON KINDLE 8629  STORE REF-4748,zero_rated,payment to amazon kindle 8629 store ref 4748,4
SQ *AVIVA INSURANCE UK ONLINE REF-4612,exempt,sq aviva insurance uk online ref 4612,0
IZ *WATERSTONES  LTD REF-1579,zero_rated,iz waterstones ltd ref 1579,4
pos tesco express 3748 online plc ref-1372,zero_rated,pos tesco express 3748 online plc ref 1372,4
"2025-03-03 LOUISVILLE WATER CO 71.48 22,363.86",standard_rate,2025 03 03 louisville water co 71 48 22 363 86,3
LINKEDIN PREMIUM 2060  UK REF-4010,standard_rate,linkedin premium 2060 uk ref 4010,3
OCTOPUS ENERGY BIRMINGHAM,reduced_rate,octopus energy birmingham,2
POS LIDL GB 7163  UK REF-8132,zero_rated,pos lidl gb 7163 uk ref 8132,4
IZ *HMRC PAYMENTS,outside_scope,iz hmrc payments,1
DD HSBC BANK FEES 6178,exempt,dd hsbc bank fees 6178,0
IZ *WESTMINSTER COUNCIL 333 BIRMINGHAM DIRECT,outside_scope,iz westminster council 333 birmingham direct,1
03/26/2025 03/26/2025 5678 STAPLES INC #0392 Other $59.93,standard_rate,03 26 2025 03 26 2025 5678 staples inc 0392 other 59 93,3
SQ *DIRECTOR DRAWINGS 7285 BRISTOL PLC,outside_scope,sq director drawings 7285 bristol plc,1
PAYMENT TO AMAZON UK 8068 MANCHESTER LTD,standard_rate,payment to amazon uk 8068 manchester ltd,3
POS TESCO EXPRESS 1481 GLASGOW,zero_rated,pos tesco express 1481 glasgow,4
payment to british gas 1681  store,reduced_rate,payment to british gas 1681 store,2
PAYMENT TO AMAZON EU 1162 UK PLC,standard_rate,payment to amazon eu 1162 uk plc,3
PAYMENT TO DIRECTOR DRAWINGS BIRMINGHAM DIRECT REF-3635,outside_scope,payment to director drawings birmingham direct ref 3635,1
IZ *AA BREAKDOWN 1316 BIRMINGHAM DIRECT,exempt,iz aa breakdown 1316 birmingham direct,0
DELIVEROO 4486 BRISTOL LTD,standard_rate,deliveroo 4486 bristol ltd,3
"2025-04-11 TOAST POS DEPOSIT 2,985.63 33,690.68",standard_rate,2025 04 11 toast pos deposit 2 985 63 33 690 68,3
CARD HSBC BANK FEES 3404  LTD,exempt,card hsbc bank fees 3404 ltd,0
SQ *HMRC SHIPLEY 5498  ONLINE REF-6364,outside_scope,sq hmrc shipley 5498 online ref 6364,1
DELIVEROO 7566 LEEDS DIRECT,standard_rate,deliveroo 7566 leeds direct,3
DD EDF ENERGY UK DIRECT,reduced_rate,dd edf energy uk direct,2
Pos Royal Mail Glasgow Ref-1327,exempt,pos royal mail glasgow ref 1327,0
Card Waterstones 4534 Birmingham,zero_rated,card waterstones 4534 birmingham,4
PAYMENT TO HMRC PAYMENTS 119 BIRMINGHAM UK REF-4095,outside_scope,payment to hmrc payments 119 birmingham uk ref 4095,1
Pos Hmrc Shipley 7555 London,outside_scope,pos hmrc shipley 7555 london,1
DD BOOTS UK 5090 BIRMINGHAM UK REF-7241,standard_rate,dd boots uk 5090 birmingham uk ref 7241,3
DD BRITISH GAS 5768 UK LTD REF-4502,reduced_rate,dd british gas 5768 uk ltd ref 4502,2
SQ *SAINSBURYS 585  STORE REF-8381,zero_rated,sq sainsburys 585 store ref 8381,4
DD LINKEDIN PREMIUM 1915 LONDON ONLINE,standard_rate,dd linkedin premium 1915 london online,3
INTRA ACCOUNT TRANSFER 4615  ONLINE,outside_scope,intra account transfer 4615 online,1
IZ *XERO SOFTWARE ONLINE,standard_rate,iz xero software online,3
TFL TRAVEL 3881  LTD REF-8208,zero_rated,tfl travel 3881 ltd ref 8208,4
AMAZON EU 9195 ONLINE PLC,standard_rate,amazon eu 9195 online plc,3
PAYMENT TO STATIONERY STATION 6926 UK,standard_rate,payment to stationery station 6926 uk,3
iz *octopus energy 104 manchester ref-1819,reduced_rate,iz octopus energy 104 manchester ref 1819,2
Dd Waterstones 7156 Leeds Uk,zero_rated,dd waterstones 7156 leeds uk,4
CARD STATIONERY STATION  PLC REF-2137,standard_rate,card stationery station plc ref 2137,3
Card Hmrc Shipley 8608 Glasgow Plc Ref-8130,outside_scope,card hmrc shipley 8608 glasgow plc ref 8130,1
sq *sage subscription 5741  store,standard_rate,sq sage subscription 5741 store,3
POS AMAZON UK 8164  REF-4308,standard_rate,pos amazon uk 8164 ref 4308,3
payment to tesco express 8935  direct,zero_rated,payment to tesco express 8935 direct,4
DD AMAZON KINDLE GLASGOW LTD,zero_rated,dd amazon kindle glasgow ltd,4
Business Name: The Golden Fork Restaurant Account Number: ****4872,standard_rate,business name the golden fork restaurant account number 4872,3
SQ *XERO SOFTWARE 4866  LTD,standard_rate,sq xero software 4866 ltd,3
IZ *HMRC PAYMENTS GLASGOW PLC,outside_scope,iz hmrc payments glasgow plc,1
CARD XERO SOFTWARE BIRMINGHAM ONLINE,standard_rate,card xero software birmingham online,3
BOOTS UK 2389 MANCHESTER ONLINE,standard_rate,boots uk 2389 manchester online,3
Iz *Royal Mail  Direct,exempt,iz royal mail direct,0
Pos Deliveroo Glasgow Plc Ref-9806,standard_rate,pos deliveroo glasgow plc ref 9806,3
CARD DELIVEROO 5195 GLASGOW REF-5073,standard_rate,card deliveroo 5195 glasgow ref 5073,3
PAYMENT TO STATIONERY STATION 5926  DIRECT,standard_rate,payment to stationery station 5926 direct,3
Sq *Adobe Creative 3493 Manchester Plc,standard_rate,sq adobe creative 3493 manchester plc,3
IZ *ADOBE CREATIVE  LTD REF-1059,standard_rate,iz adobe creative ltd ref 1059,3
"Ending Balance (Mar 31, 2024) $67,876.15",standard_rate,ending balance mar 31 2024 67 876 15,3
POS BARCLAYS BANK 1174 LONDON STORE,exempt,pos barclays bank 1174 london store,0
WESTMINSTER COUNCIL 9988  UK,outside_scope,westminster council 9988 uk,1
PAYMENT TO BOOTS UK 5609,standard_rate,payment to boots uk 5609,3
POS TFL TRAVEL 7486 LEEDS STORE,zero_rated,pos tfl travel 7486 leeds store,4
PAYMENT TO BOOTS UK 7516,standard_rate,payment to boots uk 7516,3
sq *sainsburys 7601 glasgow direct ref-5873,zero_rated,sq sainsburys 7601 glasgow direct ref 5873,4
SQ *LIDL GB  REF-5478,zero_rated,sq lidl gb ref 5478,4
westminster council 1181  uk,outside_scope,westminster council 1181 uk,1
CARD SAINSBURYS BRISTOL LTD REF-3711,zero_rated,card sainsburys bristol ltd ref 3711,4
DD WESTMINSTER COUNCIL 9874,outside_scope,dd westminster council 9874,1
ROYAL MAIL 8277  LTD,exempt,royal mail 8277 ltd,0
IZ *BRITISH GAS  UK,reduced_rate,iz british gas uk,2
Sq *Quickbooks London Store,standard_rate,sq quickbooks london store,3
IZ *AA BREAKDOWN 282 GLASGOW STORE REF-1905,exempt,iz aa breakdown 282 glasgow store ref 1905,0
SQ *TRAINLINE 5656  LTD,zero_rated,sq trainline 5656 ltd,4
CARD AMAZON EU 5991 MANCHESTER,standard_rate,card amazon eu 5991 manchester,3
"2025-03-02 TOAST POS DEPOSIT 2,705.14 17,705.14",standard_rate,2025 03 02 toast pos deposit 2 705 14 17 705 14,3
Pos Director Drawings 249  Online Ref-1354,outside_scope,pos director drawings 249 online ref 1354,1
Transaction Detail — March 2025,standard_rate,transaction detail march 2025,3
DD NATIONAL EXPRESS 4961  DIRECT,zero_rated,dd national express 4961 direct,4
DD BARCLAYS BANK 7807 LONDON UK,exempt,dd barclays bank 7807 london uk,0
CARD SAINSBURYS 4340 MANCHESTER ONLINE REF-2228,zero_rated,card sainsburys 4340 manchester online ref 2228,4
IZ *AVIVA INSURANCE  STORE REF-9004,exempt,iz aviva insurance store ref 9004,0
Pos Microsoft 365 735 Manchester Plc,standard_rate,pos microsoft 365 735 manchester plc,3
"2026-01-29 ADP PAYROLL SVCS 5,030.49 28,118.31",standard_rate,2026 01 29 adp payroll svcs 5 030 49 28 118 31,3
DD BARCLAYS BANK  LTD,exempt,dd barclays bank ltd,0
IZ *ADOBE CREATIVE  DIRECT REF-1012,standard_rate,iz adobe creative direct ref 1012,3
IZ *XERO SOFTWARE MANCHESTER PLC,standard_rate,iz xero software manchester plc,3
POS STATIONERY STATION 6683 UK LTD,standard_rate,pos stationery station 6683 uk ltd,3
IZ *UBER EATS BRISTOL UK REF-1794,standard_rate,iz uber eats bristol uk ref 1794,3
"2026-01-21 DOORDASH TRANSFER 502.65 30,943.65",standard_rate,2026 01 21 doordash transfer 502 65 30 943 65,3
sq *intra account transfer 5637  uk,outside_scope,sq intra account transfer 5637 uk,1
POS LINKEDIN PREMIUM 8975  LTD,standard_rate,pos linkedin premium 8975 ltd,3
TRAINLINE 3569  DIRECT,zero_rated,trainline 3569 direct,4
DD XERO SOFTWARE 1103  UK,standard_rate,dd xero software 1103 uk,3
PAYMENT TO AMAZON UK LEEDS ONLINE,standard_rate,payment to amazon uk leeds online,3
"Feb 26 Beverage Distributor - Liquor ACH-6613 2,350.00 67,064.80",standard_rate,feb 26 beverage distributor liquor ach 6613 2 350 00 67 064 80,3
POS POST OFFICE  PLC REF-9055,exempt,pos post office plc ref 9055,0
iz *deliveroo 9448  plc,standard_rate,iz deliveroo 9448 plc,3
POST OFFICE BIRMINGHAM LTD,exempt,post office birmingham ltd,0
CARD HSBC BANK FEES ONLINE PLC,exempt,card hsbc bank fees online plc,0
LNER TICKETS GLASGOW PLC,zero_rated,lner tickets glasgow plc,4
SQ *ADOBE CREATIVE 7167  LTD,standard_rate,sq adobe creative 7167 ltd,3
DD INTRA ACCOUNT TRANSFER GLASGOW PLC,outside_scope,dd intra account transfer glasgow plc,1
SQ *EDF ENERGY 2718 ONLINE ONLINE,reduced_rate,sq edf energy 2718 online online,2
POS LINKEDIN PREMIUM 3178 MANCHESTER PLC,standard_rate,pos linkedin premium 3178 manchester plc,3
DELIVEROO 169 BIRMINGHAM REF-6157,standard_rate,deliveroo 169 birmingham ref 6157,3
TFL TRAVEL 8260  DIRECT,zero_rated,tfl travel 8260 direct,4
PAYMENT TO BARCLAYS BANK 1200,exempt,payment to barclays bank 1200,0
sq *post office  ltd,exempt,sq post office ltd,0
"2025-04-22 PAYCHEX INC PAYROLL 3,430.50 25,458.17",standard_rate,2025 04 22 paychex inc payroll 3 430 50 25 458 17,3
POS XERO SOFTWARE  ONLINE REF-9786,standard_rate,pos xero software online ref 9786,3
SQ *LNER TICKETS 1511 MANCHESTER PLC,zero_rated,sq lner tickets 1511 manchester plc,4
SQ *LIDL GB GLASGOW PLC,zero_rated,sq lidl gb glasgow plc,4
iz *director drawings 605  store,outside_scope,iz director drawings 605 store,1
POS POST OFFICE 1220  STORE,exempt,pos post office 1220 store,0
BARCLAYS BANK 9383 MANCHESTER STORE REF-3617,exempt,barclays bank 9383 manchester store ref 3617,0
PAYMENT TO ASDA SUPERMARKET 4741,zero_rated,payment to asda supermarket 4741,4
dd waterstones 1794  online,zero_rated,dd waterstones 1794 online,4
IZ *BRITISH GAS LEEDS DIRECT,reduced_rate,iz british gas leeds direct,2
CARD UBER EATS 9137  DIRECT,standard_rate,card uber eats 9137 direct,3
DD UBER EATS 1733  DIRECT,standard_rate,dd uber eats 1733 direct,3
british gas 6239  uk,reduced_rate,british gas 6239 uk,2
Sq *Royal Mail 5823  Online,exempt,sq royal mail 5823 online,0
CARD DELIVEROO 7601 GLASGOW DIRECT REF-3219,standard_rate,card deliveroo 7601 glasgow direct ref 3219,3
"2026-03-23 TOAST POS DEPOSIT 3,080.60 48,436.94",standard_rate,2026 03 23 toast pos deposit 3 080 60 48 436 94,3
ADOBE CREATIVE 2086  REF-7427,standard_rate,adobe creative 2086 ref 7427,3
payment to tfl travel glasgow online ref-4407,zero_rated,payment to tfl travel glasgow online ref 4407,4
PAYMENT TO HSBC BANK FEES 3978 LEEDS UK,exempt,payment to hsbc bank fees 3978 leeds uk,0
Sq *Aviva Insurance 8393  Plc Ref-4690,exempt,sq aviva insurance 8393 plc ref 4690,0
POS AMAZON UK 7524  DIRECT,standard_rate,pos amazon uk 7524 direct,3
CARD UBER EATS 3947 MANCHESTER DIRECT,standard_rate,card uber eats 3947 manchester direct,3
SQ *ROYAL MAIL 419 UK LTD REF-9696,exempt,sq royal mail 419 uk ltd ref 9696,0
GOOGLE WORKSPACE 6291 BIRMINGHAM LTD REF-3403,standard_rate,google workspace 6291 birmingham ltd ref 3403,3
payment to tfl travel 7108 manchester direct ref-6983,zero_rated,payment to tfl travel 7108 manchester direct ref 6983,4
BRITISH GAS 2417 BRISTOL LTD REF-8515,reduced_rate,british gas 2417 bristol ltd ref 8515,2
"TOTAL REVENUE (POS Deposits) 18 $187,450.00",standard_rate,total revenue pos deposits 18 187 450 00,3
card tesco stores 2406  ref-4696,zero_rated,card tesco stores 2406 ref 4696,4
SQ *BRITISH GAS  PLC,reduced_rate,sq british gas plc,2
SQ *ASDA SUPERMARKET 3758 BIRMINGHAM DIRECT REF-5767,zero_rated,sq asda supermarket 3758 birmingham direct ref 5767,4
CARD BOOTS UK 8407 BRISTOL ONLINE,standard_rate,card boots uk 8407 bristol online,3
Iz *Tfl Travel 6674  Ltd Ref-9334,zero_rated,iz tfl travel 6674 ltd ref 9334,4
