raw_description,vat_code,base_merchant
PAYMENT TO PAYROLL TRANSFER 5348 UK PLC,outside_scope,PAYROLL TRANSFER
POS UBER EATS 5396  ONLINE,standard_rate,UBER EATS
POS BRITISH GAS 8215  LTD,reduced_rate,BRITISH GAS
DD WATERSTONES 1114 ONLINE ONLINE REF-2875,zero_rated,WATERSTONES
SQ *ROYAL MAIL 9455 UK UK,exempt,ROYAL MAIL
POS NATIONAL EXPRESS 7882 LEEDS UK,zero_rated,NATIONAL EXPRESS
UBER EATS 8984  PLC,standard_rate,UBER EATS
SQ *HMRC PAYMENTS 5422 LONDON UK REF-8388,outside_scope,HMRC PAYMENTS
PAYMENT TO EON NEXT 7420 LEEDS LTD,reduced_rate,EON NEXT
POS XERO SOFTWARE  STORE REF-8242,standard_rate,XERO SOFTWARE
linkedin premium 477  ltd ref-3415,standard_rate,LINKEDIN PREMIUM
sq *aviva insurance 7925  ltd ref-4013,exempt,AVIVA INSURANCE
IZ *INTRA ACCOUNT TRANSFER 9034 LONDON ONLINE REF-4311,outside_scope,INTRA ACCOUNT TRANSFER
card hmrc payments 9551 london ltd,outside_scope,HMRC PAYMENTS
sq *edf energy 7554  uk,reduced_rate,EDF ENERGY
POS POST OFFICE LONDON REF-3935,exempt,POST OFFICE
POS AMAZON KINDLE GLASGOW ONLINE,zero_rated,AMAZON KINDLE
SQ *UBER EATS 8786  LTD,standard_rate,UBER EATS
POS POST OFFICE 9885  DIRECT,exempt,POST OFFICE
DD INTRA ACCOUNT TRANSFER LEEDS STORE,outside_scope,INTRA ACCOUNT TRANSFER
IZ *DIRECTOR DRAWINGS 3828,outside_scope,DIRECTOR DRAWINGS
IZ *LNER TICKETS  DIRECT,zero_rated,LNER TICKETS
sq *hmrc payments  store ref-7792,outside_scope,HMRC PAYMENTS
PAYMENT TO STATIONERY STATION 3819 LEEDS PLC,standard_rate,STATIONERY STATION
IZ *ASDA SUPERMARKET 5642 LEEDS,zero_rated,ASDA SUPERMARKET
IZ *LIDL GB LONDON LTD REF-1235,zero_rated,LIDL GB
SQ *AA BREAKDOWN 6992  STORE,exempt,AA BREAKDOWN
SQ *NATIONAL EXPRESS  DIRECT REF-8151,zero_rated,NATIONAL EXPRESS
IZ *SAINSBURYS 6220 GLASGOW PLC REF-7481,zero_rated,SAINSBURYS
payment to aldi stores 4522 leeds plc ref-8081,zero_rated,ALDI STORES
british gas 7313  ref-8434,reduced_rate,BRITISH GAS
Google Workspace 9815 London Store,standard_rate,GOOGLE WORKSPACE
payment to amazon uk 8956 glasgow direct,standard_rate,AMAZON UK
SQ *HSBC BANK FEES 8569  DIRECT,exempt,HSBC BANK FEES
IZ *LNER TICKETS 2153 BRISTOL PLC REF-4568,zero_rated,LNER TICKETS
Pos Amazon Eu 5634 Bristol Direct Ref-8786,standard_rate,AMAZON EU
SQ *BARCLAYS BANK 2914 MANCHESTER LTD,exempt,BARCLAYS BANK
POS ADOBE CREATIVE 1733 GLASGOW UK REF-8541,standard_rate,ADOBE CREATIVE
DD AMAZON EU 1246 MANCHESTER DIRECT REF-1853,standard_rate,AMAZON EU
PAYMENT TO SAGE SUBSCRIPTION 9152 GLASGOW STORE,standard_rate,SAGE SUBSCRIPTION
POS EDF ENERGY  DIRECT REF-6023,reduced_rate,EDF ENERGY
IZ *AMAZON UK 1155 ONLINE ONLINE REF-7757,standard_rate,AMAZON UK
IZ *STATIONERY STATION  PLC,standard_rate,STATIONERY STATION
Payment To Lner Tickets 8470 Manchester Ltd Ref-5430,zero_rated,LNER TICKETS
DD TESCO STORES 7119 BRISTOL PLC REF-7543,zero_rated,TESCO STORES
IZ *AMAZON EU 3032 UK,standard_rate,AMAZON EU
HMRC PAYMENTS,outside_scope,HMRC PAYMENTS
DD TFL TRAVEL 2776 GLASGOW PLC,zero_rated,TFL TRAVEL
POS ROYAL MAIL 7395 BIRMINGHAM ONLINE,exempt,ROYAL MAIL
ALDI STORES 8956 UK UK REF-9987,zero_rated,ALDI STORES
Card Payroll Transfer Uk Plc Ref-2571,outside_scope,PAYROLL TRANSFER
PAYROLL TRANSFER BIRMINGHAM DIRECT,outside_scope,PAYROLL TRANSFER
IZ *HMRC SHIPLEY 9151 GLASGOW DIRECT REF-7099,outside_scope,HMRC SHIPLEY
POS INTRA ACCOUNT TRANSFER 5338  ONLINE,outside_scope,INTRA ACCOUNT TRANSFER
CARD AMAZON KINDLE 2535 MANCHESTER UK REF-3401,zero_rated,AMAZON KINDLE
Dd Intra Account Transfer Uk Ref-4698,outside_scope,INTRA ACCOUNT TRANSFER
DD UBER EATS LEEDS DIRECT,standard_rate,UBER EATS
POS AVIVA INSURANCE LEEDS STORE,exempt,AVIVA INSURANCE
SQ *EDF ENERGY 9080 ONLINE DIRECT REF-4395,reduced_rate,EDF ENERGY
card trainline  ref-9934,zero_rated,TRAINLINE
PAYMENT TO QUICKBOOKS MANCHESTER REF-4568,standard_rate,QUICKBOOKS
Sq *Linkedin Premium 4743 Leeds Uk,standard_rate,LINKEDIN PREMIUM
IZ *ALDI STORES  LTD,zero_rated,ALDI STORES
Sq *Sainsburys 5983 London Plc,zero_rated,SAINSBURYS
HMRC SHIPLEY  LTD,outside_scope,HMRC SHIPLEY
SQ *BOOTS UK 1133  UK REF-6136,standard_rate,BOOTS UK
CARD XERO SOFTWARE 179  LTD,standard_rate,XERO SOFTWARE
DD GOOGLE WORKSPACE 9332  LTD,standard_rate,GOOGLE WORKSPACE
Payment To Hmrc Payments Leeds Store,outside_scope,HMRC PAYMENTS
POS AVIVA INSURANCE MANCHESTER PLC,exempt,AVIVA INSURANCE
CARD NATIONAL EXPRESS 6376  UK,zero_rated,NATIONAL EXPRESS
DD LIDL GB 8290 LONDON PLC REF-2442,zero_rated,LIDL GB
IZ *AMAZON EU 8823  PLC,standard_rate,AMAZON EU
SQ *TRAINLINE 7787  LTD REF-7651,zero_rated,TRAINLINE
Hmrc Shipley 8676 Manchester Store,outside_scope,HMRC SHIPLEY
Google Workspace 2850,standard_rate,GOOGLE WORKSPACE
LNER TICKETS UK STORE,zero_rated,LNER TICKETS
CARD MICROSOFT 365 1126 GLASGOW UK REF-2722,standard_rate,MICROSOFT 365
DD LIDL GB 7698 LONDON ONLINE REF-7641,zero_rated,LIDL GB
Dd British Gas Online Ltd Ref-6114,reduced_rate,BRITISH GAS
DD POST OFFICE 832 UK DIRECT,exempt,POST OFFICE
IZ *POST OFFICE 9509 ONLINE STORE,exempt,POST OFFICE
PAYMENT TO TFL TRAVEL BIRMINGHAM UK,zero_rated,TFL TRAVEL
CARD DELIVEROO 6989  PLC REF-5214,standard_rate,DELIVEROO
NATIONAL EXPRESS 2422  LTD REF-9186,zero_rated,NATIONAL EXPRESS
Card Linkedin Premium 9169 Leeds Ltd,standard_rate,LINKEDIN PREMIUM
DD ALDI STORES 907  UK,zero_rated,ALDI STORES
PAYMENT TO ROYAL MAIL LONDON ONLINE REF-8007,exempt,ROYAL MAIL
DD ROYAL MAIL LEEDS DIRECT REF-8123,exempt,ROYAL MAIL
POS TESCO EXPRESS 1481 GLASGOW,zero_rated,TESCO EXPRESS
Pos Tesco Express  Online,zero_rated,TESCO EXPRESS
PAYMENT TO XERO SOFTWARE 8421  DIRECT REF-5763,standard_rate,XERO SOFTWARE
Iz *Octopus Energy 9499 Birmingham Plc,reduced_rate,OCTOPUS ENERGY
IZ *POST OFFICE GLASGOW UK,exempt,POST OFFICE
PAYMENT TO BOOTS UK 5950 UK UK,standard_rate,BOOTS UK
POS LINKEDIN PREMIUM,standard_rate,LINKEDIN PREMIUM
payment to microsoft 365 5021 manchester plc,standard_rate,MICROSOFT 365
POS POST OFFICE 5463  ONLINE,exempt,POST OFFICE
iz *tfl travel bristol,zero_rated,TFL TRAVEL
IZ *SAGE SUBSCRIPTION 9218 GLASGOW ONLINE REF-8608,standard_rate,SAGE SUBSCRIPTION
trainline,zero_rated,TRAINLINE
dd westminster council 297 manchester store,outside_scope,WESTMINSTER COUNCIL
pos barclays bank 8221  ltd,exempt,BARCLAYS BANK
DD TESCO EXPRESS 6008 MANCHESTER STORE,zero_rated,TESCO EXPRESS
pos british gas 2609  uk ref-3898,reduced_rate,BRITISH GAS
EON NEXT  PLC,reduced_rate,EON NEXT
PAYROLL TRANSFER LONDON DIRECT REF-8604,outside_scope,PAYROLL TRANSFER
IZ *STATIONERY STATION 3453 LONDON STORE REF-6748,standard_rate,STATIONERY STATION
card tesco stores 6724 online direct ref-8657,zero_rated,TESCO STORES
Sq *Tfl Travel 8157  Ltd,zero_rated,TFL TRAVEL
CARD ADOBE CREATIVE 1900  UK REF-1517,standard_rate,ADOBE CREATIVE
Dd Stationery Station 4343  Uk Ref-6336,standard_rate,STATIONERY STATION
payment to xero software  online ref-4246,standard_rate,XERO SOFTWARE
HMRC SHIPLEY LEEDS ONLINE REF-6347,outside_scope,HMRC SHIPLEY
IZ *WESTMINSTER COUNCIL  UK REF-8319,outside_scope,WESTMINSTER COUNCIL
SQ *QUICKBOOKS 5554 GLASGOW UK,standard_rate,QUICKBOOKS
CARD UBER EATS 6445 UK DIRECT REF-2663,standard_rate,UBER EATS
payment to sage subscription 2624 glasgow plc,standard_rate,SAGE SUBSCRIPTION
SQ *AMAZON KINDLE 1568 ONLINE PLC REF-7260,zero_rated,AMAZON KINDLE
Payment To Hmrc Shipley  Store,outside_scope,HMRC SHIPLEY
DD HSBC BANK FEES 1553 UK ONLINE,exempt,HSBC BANK FEES
BRITISH GAS 4204 UK DIRECT REF-8133,reduced_rate,BRITISH GAS
SQ *STATIONERY STATION 5180 BIRMINGHAM STORE REF-8671,standard_rate,STATIONERY STATION
card waterstones 6894 bristol uk ref-1068,zero_rated,WATERSTONES
POS QUICKBOOKS MANCHESTER REF-6040,standard_rate,QUICKBOOKS
sq *tesco stores 8041 uk plc,zero_rated,TESCO STORES
CARD BOOTS UK 4294 LEEDS STORE REF-6240,standard_rate,BOOTS UK
PAYMENT TO TRAINLINE 2949 LONDON REF-6070,zero_rated,TRAINLINE
Dd Waterstones 9394  Direct Ref-5762,zero_rated,WATERSTONES
SQ *UBER EATS 4247 BIRMINGHAM PLC,standard_rate,UBER EATS
CARD GOOGLE WORKSPACE  DIRECT,standard_rate,GOOGLE WORKSPACE
PAYMENT TO QUICKBOOKS 1354 LONDON DIRECT,standard_rate,QUICKBOOKS
SQ *BARCLAYS BANK 3372 MANCHESTER ONLINE REF-1759,exempt,BARCLAYS BANK
card sage subscription 7636 leeds,standard_rate,SAGE SUBSCRIPTION
SQ *BARCLAYS BANK 8920  LTD REF-4776,exempt,BARCLAYS BANK
dd director drawings leeds online,outside_scope,DIRECTOR DRAWINGS
CARD EON NEXT 2226 LONDON LTD,reduced_rate,EON NEXT
pos octopus energy 7350,reduced_rate,OCTOPUS ENERGY
HMRC SHIPLEY 7292  STORE,outside_scope,HMRC SHIPLEY
POS TFL TRAVEL 5819  STORE,zero_rated,TFL TRAVEL
EDF ENERGY 6723  PLC,reduced_rate,EDF ENERGY
PAYMENT TO QUICKBOOKS 464 MANCHESTER LTD REF-8098,standard_rate,QUICKBOOKS
SQ *TESCO EXPRESS 6676 LEEDS UK,zero_rated,TESCO EXPRESS
IZ *BRITISH GAS 3725,reduced_rate,BRITISH GAS
POS SAINSBURYS 5720 BIRMINGHAM LTD,zero_rated,SAINSBURYS
CARD POST OFFICE  DIRECT REF-9438,exempt,POST OFFICE
pos sage subscription  ltd ref-8073,standard_rate,SAGE SUBSCRIPTION
CARD ASDA SUPERMARKET LONDON PLC REF-2584,zero_rated,ASDA SUPERMARKET
STATIONERY STATION 6060 MANCHESTER ONLINE,standard_rate,STATIONERY STATION
SQ *ASDA SUPERMARKET 6268 BRISTOL REF-8520,zero_rated,ASDA SUPERMARKET
IZ *AMAZON EU 4919 LEEDS PLC REF-6368,standard_rate,AMAZON EU
POS LIDL GB  ONLINE,zero_rated,LIDL GB
IZ *MICROSOFT 365 9493 LONDON REF-4371,standard_rate,MICROSOFT 365
IZ *SAGE SUBSCRIPTION 6308  DIRECT,standard_rate,SAGE SUBSCRIPTION
CARD HMRC PAYMENTS LEEDS LTD,outside_scope,HMRC PAYMENTS
PAYMENT TO TESCO STORES 987 UK UK REF-2612,zero_rated,TESCO STORES
SQ *XERO SOFTWARE 4866  LTD,standard_rate,XERO SOFTWARE
sq *sage subscription 9794  online,standard_rate,SAGE SUBSCRIPTION
CARD SAGE SUBSCRIPTION GLASGOW LTD REF-2769,standard_rate,SAGE SUBSCRIPTION
POS EDF ENERGY BRISTOL,reduced_rate,EDF ENERGY
DD AMAZON KINDLE 2237  STORE REF-2971,zero_rated,AMAZON KINDLE
CARD AMAZON KINDLE LEEDS ONLINE,zero_rated,AMAZON KINDLE
DD TESCO EXPRESS 5336 MANCHESTER ONLINE REF-2063,zero_rated,TESCO EXPRESS
DD ROYAL MAIL 4464 MANCHESTER LTD,exempt,ROYAL MAIL
iz *royal mail 8888  uk ref-2750,exempt,ROYAL MAIL
CARD DIRECTOR DRAWINGS  ONLINE,outside_scope,DIRECTOR DRAWINGS
DD HMRC PAYMENTS 4939 UK,outside_scope,HMRC PAYMENTS
IZ *WESTMINSTER COUNCIL 8682  PLC REF-9818,outside_scope,WESTMINSTER COUNCIL
Iz *Director Drawings 2318 Birmingham Store Ref-2734,outside_scope,DIRECTOR DRAWINGS
pos trainline 2342  online,zero_rated,TRAINLINE
PAYMENT TO LNER TICKETS 8821 ONLINE UK,zero_rated,LNER TICKETS
STATIONERY STATION 2816 GLASGOW STORE,standard_rate,STATIONERY STATION
SQ *INTRA ACCOUNT TRANSFER UK UK,outside_scope,INTRA ACCOUNT TRANSFER
POS ALDI STORES 3404 UK REF-9489,zero_rated,ALDI STORES
iz *trainline 9969 leeds plc ref-4997,zero_rated,TRAINLINE
SQ *PAYROLL TRANSFER BIRMINGHAM LTD,outside_scope,PAYROLL TRANSFER
IZ *DIRECTOR DRAWINGS 9676,outside_scope,DIRECTOR DRAWINGS
DD POST OFFICE 8663  UK REF-3564,exempt,POST OFFICE
CARD HSBC BANK FEES 5084  STORE,exempt,HSBC BANK FEES
Dd Intra Account Transfer  Ltd,outside_scope,INTRA ACCOUNT TRANSFER
SQ *STATIONERY STATION ONLINE ONLINE REF-4316,standard_rate,STATIONERY STATION
IZ *UBER EATS LONDON PLC,standard_rate,UBER EATS
DD TESCO EXPRESS 6897 GLASGOW,zero_rated,TESCO EXPRESS
IZ *SAINSBURYS 5328 BIRMINGHAM PLC,zero_rated,SAINSBURYS
IZ *GOOGLE WORKSPACE 8566 BRISTOL STORE,standard_rate,GOOGLE WORKSPACE
LIDL GB BIRMINGHAM REF-9570,zero_rated,LIDL GB
HMRC PAYMENTS  ONLINE,outside_scope,HMRC PAYMENTS
iz *british gas 9362 london uk,reduced_rate,BRITISH GAS
PAYMENT TO SAINSBURYS 2393  REF-7291,zero_rated,SAINSBURYS
NATIONAL EXPRESS 8388 UK STORE REF-8182,zero_rated,NATIONAL EXPRESS
PAYMENT TO PAYROLL TRANSFER ONLINE ONLINE,outside_scope,PAYROLL TRANSFER
Adobe Creative 5174  Online,standard_rate,ADOBE CREATIVE
QUICKBOOKS 8732  PLC,standard_rate,QUICKBOOKS
Pos Royal Mail 3524 Online Plc,exempt,ROYAL MAIL
DD OCTOPUS ENERGY 2915 GLASGOW LTD REF-7279,reduced_rate,OCTOPUS ENERGY
POS DIRECTOR DRAWINGS 5566 LONDON LTD REF-9809,outside_scope,DIRECTOR DRAWINGS
IZ *WESTMINSTER COUNCIL 4647 ONLINE LTD,outside_scope,WESTMINSTER COUNCIL
SQ *AA BREAKDOWN  STORE,exempt,AA BREAKDOWN
DD SAGE SUBSCRIPTION BIRMINGHAM PLC REF-5552,standard_rate,SAGE SUBSCRIPTION
PAYMENT TO HMRC SHIPLEY 7850 BRISTOL,outside_scope,HMRC SHIPLEY
POS SAGE SUBSCRIPTION 4596  LTD,standard_rate,SAGE SUBSCRIPTION
SQ *DIRECTOR DRAWINGS 2145 MANCHESTER DIRECT,outside_scope,DIRECTOR DRAWINGS
IZ *QUICKBOOKS 7122 LONDON UK REF-6011,standard_rate,QUICKBOOKS
DD ALDI STORES  STORE REF-3931,zero_rated,ALDI STORES
sq *tfl travel 4550 glasgow,zero_rated,TFL TRAVEL
sq *royal mail 9571 manchester uk,exempt,ROYAL MAIL
EON NEXT 8275  DIRECT,reduced_rate,EON NEXT
TESCO STORES  ONLINE,zero_rated,TESCO STORES
DD EDF ENERGY 9419,reduced_rate,EDF ENERGY
DD LINKEDIN PREMIUM LONDON LTD,standard_rate,LINKEDIN PREMIUM
Payment To Microsoft 365 5537 London Online,standard_rate,MICROSOFT 365
PAYMENT TO LINKEDIN PREMIUM 7958  UK REF-5599,standard_rate,LINKEDIN PREMIUM
Dd Edf Energy 5354 Leeds Ltd,reduced_rate,EDF ENERGY
Sq *Lidl Gb 1411 Manchester Direct,zero_rated,LIDL GB
SQ *XERO SOFTWARE 9472  LTD,standard_rate,XERO SOFTWARE
PAYMENT TO DIRECTOR DRAWINGS 7490 MANCHESTER ONLINE REF-6909,outside_scope,DIRECTOR DRAWINGS
Iz *Aviva Insurance London,exempt,AVIVA INSURANCE
HSBC BANK FEES 5879 UK DIRECT,exempt,HSBC BANK FEES
POS DIRECTOR DRAWINGS 6746 LEEDS,outside_scope,DIRECTOR DRAWINGS
PAYMENT TO SAGE SUBSCRIPTION 1609,standard_rate,SAGE SUBSCRIPTION
PAYMENT TO WATERSTONES UK LTD,zero_rated,WATERSTONES
Iz *Stationery Station  Ltd,standard_rate,STATIONERY STATION
CARD HMRC SHIPLEY 3874 BRISTOL LTD,outside_scope,HMRC SHIPLEY
ROYAL MAIL 1152  REF-2371,exempt,ROYAL MAIL
PAYMENT TO GOOGLE WORKSPACE 9566 BIRMINGHAM ONLINE REF-4723,standard_rate,GOOGLE WORKSPACE
edf energy 425 birmingham uk ref-6633,reduced_rate,EDF ENERGY
dd aldi stores 300  plc,zero_rated,ALDI STORES
Linkedin Premium 1892  Uk,standard_rate,LINKEDIN PREMIUM
Sq *Intra Account Transfer 2684 Manchester Store,outside_scope,INTRA ACCOUNT TRANSFER
iz *payroll transfer 8159  online ref-9533,outside_scope,PAYROLL TRANSFER
card uber eats 8605 online,standard_rate,UBER EATS
DD OCTOPUS ENERGY 4561 GLASGOW PLC,reduced_rate,OCTOPUS ENERGY
POS HSBC BANK FEES BIRMINGHAM REF-8085,exempt,HSBC BANK FEES
IZ *BRITISH GAS ONLINE DIRECT,reduced_rate,BRITISH GAS
IZ *ASDA SUPERMARKET 4883  PLC,zero_rated,ASDA SUPERMARKET
SQ *PAYROLL TRANSFER 6213 LEEDS UK,outside_scope,PAYROLL TRANSFER
CARD HMRC PAYMENTS 5325 BRISTOL DIRECT,outside_scope,HMRC PAYMENTS
CARD HSBC BANK FEES 7899 UK PLC,exempt,HSBC BANK FEES
Iz *Waterstones 4043  Ltd,zero_rated,WATERSTONES
DD DELIVEROO 3511 ONLINE DIRECT,standard_rate,DELIVEROO
PAYMENT TO NATIONAL EXPRESS 9501  ONLINE,zero_rated,NATIONAL EXPRESS
Dd Boots Uk 9413  Direct Ref-8335,standard_rate,BOOTS UK
Sq *Linkedin Premium 5685 Online Plc Ref-7578,standard_rate,LINKEDIN PREMIUM
DD HSBC BANK FEES UK PLC REF-5753,exempt,HSBC BANK FEES
PAYMENT TO LIDL GB 6490 LEEDS UK,zero_rated,LIDL GB
LIDL GB 1258 LONDON UK,zero_rated,LIDL GB
SQ *BARCLAYS BANK 1039  ONLINE REF-6464,exempt,BARCLAYS BANK
POS LNER TICKETS  LTD,zero_rated,LNER TICKETS
PAYMENT TO PAYROLL TRANSFER 3994 BIRMINGHAM ONLINE,outside_scope,PAYROLL TRANSFER
POS GOOGLE WORKSPACE 2648 LEEDS ONLINE,standard_rate,GOOGLE WORKSPACE
PAYROLL TRANSFER 1202 LONDON,outside_scope,PAYROLL TRANSFER
POS WATERSTONES 4150 MANCHESTER PLC,zero_rated,WATERSTONES
Payment To Hsbc Bank Fees Glasgow,exempt,HSBC BANK FEES
TESCO EXPRESS  STORE,zero_rated,TESCO EXPRESS
Eon Next  Online Ref-7250,reduced_rate,EON NEXT
IZ *AMAZON KINDLE 1716,zero_rated,AMAZON KINDLE
IZ *AMAZON EU,standard_rate,AMAZON EU
CARD ASDA SUPERMARKET 6301 BIRMINGHAM STORE,zero_rated,ASDA SUPERMARKET
card deliveroo manchester direct,standard_rate,DELIVEROO
BRITISH GAS 5431,reduced_rate,BRITISH GAS
CARD TESCO STORES LONDON STORE,zero_rated,TESCO STORES
POS LINKEDIN PREMIUM 3178 MANCHESTER PLC,standard_rate,LINKEDIN PREMIUM
payment to eon next 9556,reduced_rate,EON NEXT
BARCLAYS BANK 6977  DIRECT,exempt,BARCLAYS BANK
Hmrc Shipley 7373 Glasgow Ref-3571,outside_scope,HMRC SHIPLEY
Card Director Drawings London Direct,outside_scope,DIRECTOR DRAWINGS
IZ *OCTOPUS ENERGY BIRMINGHAM STORE,reduced_rate,OCTOPUS ENERGY
Payment To Post Office 2773 Online Ltd Ref-2663,exempt,POST OFFICE
Pos Adobe Creative 5770  Online,standard_rate,ADOBE CREATIVE
iz *barclays bank online online ref-2103,exempt,BARCLAYS BANK
BOOTS UK 9330  PLC REF-7913,standard_rate,BOOTS UK
WESTMINSTER COUNCIL ONLINE,outside_scope,WESTMINSTER COUNCIL
Card Amazon Kindle Online Online,zero_rated,AMAZON KINDLE
intra account transfer  uk,outside_scope,INTRA ACCOUNT TRANSFER
DD DIRECTOR DRAWINGS ONLINE ONLINE REF-5335,outside_scope,DIRECTOR DRAWINGS
CARD AMAZON EU 3585 GLASGOW,standard_rate,AMAZON EU
SQ *ALDI STORES GLASGOW DIRECT,zero_rated,ALDI STORES
sq *uber eats 730  store ref-7609,standard_rate,UBER EATS
HMRC PAYMENTS 3593 LONDON,outside_scope,HMRC PAYMENTS
POS BRITISH GAS 8066  LTD,reduced_rate,BRITISH GAS
IZ *POST OFFICE 5128  LTD REF-9684,exempt,POST OFFICE
PAYMENT TO ALDI STORES 5376 BRISTOL,zero_rated,ALDI STORES
POS GOOGLE WORKSPACE 1920  ONLINE REF-1907,standard_rate,GOOGLE WORKSPACE
Sq *Sage Subscription  Store,standard_rate,SAGE SUBSCRIPTION
Payment To Aa Breakdown Birmingham Ltd,exempt,AA BREAKDOWN
PAYMENT TO BOOTS UK 570 BIRMINGHAM ONLINE,standard_rate,BOOTS UK
SQ *INTRA ACCOUNT TRANSFER UK STORE REF-3997,outside_scope,INTRA ACCOUNT TRANSFER
CARD LIDL GB 5032,zero_rated,LIDL GB
pos amazon kindle 9179 manchester plc ref-1175,zero_rated,AMAZON KINDLE
Pos Barclays Bank  Store,exempt,BARCLAYS BANK
CARD TESCO STORES BIRMINGHAM LTD REF-5786,zero_rated,TESCO STORES
Iz *National Express 7013 Glasgow Uk Ref-6199,zero_rated,NATIONAL EXPRESS
DD WESTMINSTER COUNCIL  REF-3381,outside_scope,WESTMINSTER COUNCIL
IZ *NATIONAL EXPRESS 2387 ONLINE ONLINE,zero_rated,NATIONAL EXPRESS
CARD LIDL GB  UK REF-8424,zero_rated,LIDL GB
IZ *BRITISH GAS BIRMINGHAM ONLINE REF-8763,reduced_rate,BRITISH GAS
CARD LNER TICKETS 2407  ONLINE REF-9550,zero_rated,LNER TICKETS
CARD WESTMINSTER COUNCIL 1159 BIRMINGHAM LTD,outside_scope,WESTMINSTER COUNCIL
ROYAL MAIL 3563  STORE REF-7746,exempt,ROYAL MAIL
DD BOOTS UK 3006  REF-4843,standard_rate,BOOTS UK
PAYMENT TO HMRC SHIPLEY MANCHESTER LTD,outside_scope,HMRC SHIPLEY
IZ *TRAINLINE 3587  DIRECT,zero_rated,TRAINLINE
SQ *EON NEXT 8948 LONDON STORE,reduced_rate,EON NEXT
PAYROLL TRANSFER 782 ONLINE,outside_scope,PAYROLL TRANSFER
IZ *SAINSBURYS 4693 LONDON STORE REF-1539,zero_rated,SAINSBURYS
CARD DIRECTOR DRAWINGS UK STORE REF-2924,outside_scope,DIRECTOR DRAWINGS
Sq *Westminster Council Leeds,outside_scope,WESTMINSTER COUNCIL
DELIVEROO LONDON PLC REF-6765,standard_rate,DELIVEROO
IZ *SAINSBURYS 2878 LEEDS STORE REF-3777,zero_rated,SAINSBURYS
Sq *Hmrc Payments 2995 Leeds Plc,outside_scope,HMRC PAYMENTS
PAYMENT TO SAINSBURYS ONLINE STORE,zero_rated,SAINSBURYS
LIDL GB,zero_rated,LIDL GB
IZ *TFL TRAVEL LONDON UK,zero_rated,TFL TRAVEL
payment to westminster council 9540  ltd ref-8809,outside_scope,WESTMINSTER COUNCIL
POS UBER EATS BRISTOL PLC REF-8477,standard_rate,UBER EATS
sq *payroll transfer 8609  direct,outside_scope,PAYROLL TRANSFER
SQ *AVIVA INSURANCE GLASGOW REF-6175,exempt,AVIVA INSURANCE
PAYMENT TO ALDI STORES 2559 GLASGOW LTD,zero_rated,ALDI STORES
Linkedin Premium  Online,standard_rate,LINKEDIN PREMIUM
pos tesco express 3748 online plc ref-1372,zero_rated,TESCO EXPRESS
PAYMENT TO TESCO EXPRESS  ONLINE,zero_rated,TESCO EXPRESS
Payment To Deliveroo 6693 Manchester Direct Ref-7167,standard_rate,DELIVEROO
HMRC PAYMENTS 1617 MANCHESTER UK REF-1897,outside_scope,HMRC PAYMENTS
Pos Deliveroo Leeds Online Ref-5894,standard_rate,DELIVEROO
IZ *ASDA SUPERMARKET 6402 GLASGOW STORE,zero_rated,ASDA SUPERMARKET
SQ *HSBC BANK FEES  LTD REF-5184,exempt,HSBC BANK FEES
card aa breakdown uk ltd ref-3987,exempt,AA BREAKDOWN
TRAINLINE 715  ONLINE,zero_rated,TRAINLINE
PAYMENT TO SAGE SUBSCRIPTION,standard_rate,SAGE SUBSCRIPTION
PAYMENT TO ALDI STORES LONDON PLC REF-2539,zero_rated,ALDI STORES
CARD AMAZON KINDLE 3099 ONLINE ONLINE,zero_rated,AMAZON KINDLE
LINKEDIN PREMIUM 5975  PLC REF-8816,standard_rate,LINKEDIN PREMIUM
DD PAYROLL TRANSFER 1455,outside_scope,PAYROLL TRANSFER
SAGE SUBSCRIPTION 3707,standard_rate,SAGE SUBSCRIPTION
POS UBER EATS 5874  ONLINE REF-2930,standard_rate,UBER EATS
CARD LIDL GB 311 GLASGOW LTD,zero_rated,LIDL GB
pos sainsburys  ltd,zero_rated,SAINSBURYS
SQ *MICROSOFT 365 4200 MANCHESTER UK,standard_rate,MICROSOFT 365
CARD ROYAL MAIL 4593 LONDON PLC REF-7913,exempt,ROYAL MAIL
IZ *AVIVA INSURANCE 9879 MANCHESTER ONLINE,exempt,AVIVA INSURANCE
PAYMENT TO WATERSTONES 441 UK PLC,zero_rated,WATERSTONES
CARD AVIVA INSURANCE ONLINE,exempt,AVIVA INSURANCE
IZ *AMAZON KINDLE 2708  DIRECT REF-9977,zero_rated,AMAZON KINDLE
iz *google workspace 8929 uk uk ref-6105,standard_rate,GOOGLE WORKSPACE
PAYMENT TO OCTOPUS ENERGY 8276 GLASGOW,reduced_rate,OCTOPUS ENERGY
IZ *GOOGLE WORKSPACE BRISTOL UK REF-1708,standard_rate,GOOGLE WORKSPACE
Payment To Eon Next  Ref-3480,reduced_rate,EON NEXT
SQ *EDF ENERGY 2718 ONLINE ONLINE,reduced_rate,EDF ENERGY
card xero software 3389 leeds direct ref-2464,standard_rate,XERO SOFTWARE
BARCLAYS BANK 3247  REF-9871,exempt,BARCLAYS BANK
POS POST OFFICE 8129 GLASGOW,exempt,POST OFFICE
CARD NATIONAL EXPRESS 2938 LONDON DIRECT,zero_rated,NATIONAL EXPRESS
