raw_description,vat_code
DD ALDI STORES  STORE REF-3931,zero_rated
sq *tfl travel 4550 glasgow,zero_rated
sq *royal mail 9571 manchester uk,exempt
EON NEXT 8275  DIRECT,reduced_rate
TESCO STORES  ONLINE,zero_rated
DD EDF ENERGY 9419,reduced_rate
DD LINKEDIN PREMIUM LONDON LTD,standard_rate
Payment To Microsoft 365 5537 London Online,standard_rate
PAYMENT TO LINKEDIN PREMIUM 7958  UK REF-5599,standard_rate
Dd Edf Energy 5354 Leeds Ltd,reduced_rate
Sq *Lidl Gb 1411 Manchester Direct,zero_rated
SQ *XERO SOFTWARE 9472  LTD,standard_rate
PAYMENT TO DIRECTOR DRAWINGS 7490 MANCHESTER ONLINE REF-6909,outside_scope
Iz *Aviva Insurance London,exempt
HSBC BANK FEES 5879 UK DIRECT,exempt
POS DIRECTOR DRAWINGS 6746 LEEDS,outside_scope
PAYMENT TO SAGE SUBSCRIPTION 1609,standard_rate
PAYMENT TO WATERSTONES UK LTD,zero_rated
Iz *Stationery Station  Ltd,standard_rate
CARD HMRC SHIPLEY 3874 BRISTOL LTD,outside_scope
ROYAL MAIL 1152  REF-2371,exempt
PAYMENT TO GOOGLE WORKSPACE 9566 BIRMINGHAM ONLINE REF-4723,standard_rate
edf energy 425 birmingham uk ref-6633,reduced_rate
dd aldi stores 300  plc,zero_rated
Linkedin Premium 1892  Uk,standard_rate
Sq *Intra Account Transfer 2684 Manchester Store,outside_scope
iz *payroll transfer 8159  online ref-9533,outside_scope
card uber eats 8605 online,standard_rate
DD OCTOPUS ENERGY 4561 GLASGOW PLC,reduced_rate
POS HSBC BANK FEES BIRMINGHAM REF-8085,exempt
IZ *BRITISH GAS ONLINE DIRECT,reduced_rate
IZ *ASDA SUPERMARKET 4883  PLC,zero_rated
SQ *PAYROLL TRANSFER 6213 LEEDS UK,outside_scope
CARD HMRC PAYMENTS 5325 BRISTOL DIRECT,outside_scope
CARD HSBC BANK FEES 7899 UK PLC,exempt
Iz *Waterstones 4043  Ltd,zero_rated
DD DELIVEROO 3511 ONLINE DIRECT,standard_rate
PAYMENT TO NATIONAL EXPRESS 9501  ONLINE,zero_rated
Dd Boots Uk 9413  Direct Ref-8335,standard_rate
Sq *Linkedin Premium 5685 Online Plc Ref-7578,standard_rate
DD HSBC BANK FEES UK PLC REF-5753,exempt
PAYMENT TO LIDL GB 6490 LEEDS UK,zero_rated
LIDL GB 1258 LONDON UK,zero_rated
SQ *BARCLAYS BANK 1039  ONLINE REF-6464,exempt
POS LNER TICKETS  LTD,zero_rated
PAYMENT TO PAYROLL TRANSFER 3994 BIRMINGHAM ONLINE,outside_scope
POS GOOGLE WORKSPACE 2648 LEEDS ONLINE,standard_rate
PAYROLL TRANSFER 1202 LONDON,outside_scope
POS WATERSTONES 4150 MANCHESTER PLC,zero_rated
Payment To Hsbc Bank Fees Glasgow,exempt
TESCO EXPRESS  STORE,zero_rated
Eon Next  Online Ref-7250,reduced_rate
IZ *AMAZON KINDLE 1716,zero_rated
IZ *AMAZON EU,standard_rate
CARD ASDA SUPERMARKET 6301 BIRMINGHAM STORE,zero_rated
card deliveroo manchester direct,standard_rate
BRITISH GAS 5431,reduced_rate
CARD TESCO STORES LONDON STORE,zero_rated
POS LINKEDIN PREMIUM 3178 MANCHESTER PLC,standard_rate
payment to eon next 9556,reduced_rate
BARCLAYS BANK 6977  DIRECT,exempt
Hmrc Shipley 7373 Glasgow Ref-3571,outside_scope
Card Director Drawings London Direct,outside_scope
IZ *OCTOPUS ENERGY BIRMINGHAM STORE,reduced_rate
Payment To Post Office 2773 Online Ltd Ref-2663,exempt
Pos Adobe Creative 5770  Online,standard_rate
iz *barclays bank online online ref-2103,exempt
BOOTS UK 9330  PLC REF-7913,standard_rate
WESTMINSTER COUNCIL ONLINE,outside_scope
Card Amazon Kindle Online Online,zero_rated
intra account transfer  uk,outside_scope
DD DIRECTOR DRAWINGS ONLINE ONLINE REF-5335,outside_scope
CARD AMAZON EU 3585 GLASGOW,standard_rate
SQ *ALDI STORES GLASGOW DIRECT,zero_rated
sq *uber eats 730  store ref-7609,standard_rate
HMRC PAYMENTS 3593 LONDON,outside_scope
POS BRITISH GAS 8066  LTD,reduced_rate
IZ *POST OFFICE 5128  LTD REF-9684,exempt
PAYMENT TO ALDI STORES 5376 BRISTOL,zero_rated
POS GOOGLE WORKSPACE 1920  ONLINE REF-1907,standard_rate
Sq *Sage Subscription  Store,standard_rate
Payment To Aa Breakdown Birmingham Ltd,exempt
PAYMENT TO BOOTS UK 570 BIRMINGHAM ONLINE,standard_rate
SQ *INTRA ACCOUNT TRANSFER UK STORE REF-3997,outside_scope
CARD LIDL GB 5032,zero_rated
pos amazon kindle 9179 manchester plc ref-1175,zero_rated
Pos Barclays Bank  Store,exempt
CARD TESCO STORES BIRMINGHAM LTD REF-5786,zero_rated
Iz *National Express 7013 Glasgow Uk Ref-6199,zero_rated
DD WESTMINSTER COUNCIL  REF-3381,outside_scope
IZ *NATIONAL EXPRESS 2387 ONLINE ONLINE,zero_rated
CARD LIDL GB  UK REF-8424,zero_rated
IZ *BRITISH GAS BIRMINGHAM ONLINE REF-8763,reduced_rate
CARD LNER TICKETS 2407  ONLINE REF-9550,zero_rated
CARD WESTMINSTER COUNCIL 1159 BIRMINGHAM LTD,outside_scope
ROYAL MAIL 3563  STORE REF-7746,exempt
DD BOOTS UK 3006  REF-4843,standard_rate
PAYMENT TO HMRC SHIPLEY MANCHESTER LTD,outside_scope
IZ *TRAINLINE 3587  DIRECT,zero_rated
SQ *EON NEXT 8948 LONDON STORE,reduced_rate
PAYROLL TRANSFER 782 ONLINE,outside_scope
IZ *SAINSBURYS 4693 LONDON STORE REF-1539,zero_rated
CARD DIRECTOR DRAWINGS UK STORE REF-2924,outside_scope
Sq *Westminster Council Leeds,outside_scope
DELIVEROO LONDON PLC REF-6765,standard_rate
IZ *SAINSBURYS 2878 LEEDS STORE REF-3777,zero_rated
Sq *Hmrc Payments 2995 Leeds Plc,outside_scope
PAYMENT TO SAINSBURYS ONLINE STORE,zero_rated
LIDL GB,zero_rated
IZ *TFL TRAVEL LONDON UK,zero_rated
payment to westminster council 9540  ltd ref-8809,outside_scope
POS UBER EATS BRISTOL PLC REF-8477,standard_rate
sq *payroll transfer 8609  direct,outside_scope
SQ *AVIVA INSURANCE GLASGOW REF-6175,exempt
PAYMENT TO ALDI STORES 2559 GLASGOW LTD,zero_rated
Linkedin Premium  Online,standard_rate
pos tesco express 3748 online plc ref-1372,zero_rated
PAYMENT TO TESCO EXPRESS  ONLINE,zero_rated
Payment To Deliveroo 6693 Manchester Direct Ref-7167,standard_rate
HMRC PAYMENTS 1617 MANCHESTER UK REF-1897,outside_scope
Pos Deliveroo Leeds Online Ref-5894,standard_rate
IZ *ASDA SUPERMARKET 6402 GLASGOW STORE,zero_rated
SQ *HSBC BANK FEES  LTD REF-5184,exempt
card aa breakdown uk ltd ref-3987,exempt
TRAINLINE 715  ONLINE,zero_rated
PAYMENT TO SAGE SUBSCRIPTION,standard_rate
PAYMENT TO ALDI STORES LONDON PLC REF-2539,zero_rated
CARD AMAZON KINDLE 3099 ONLINE ONLINE,zero_rated
LINKEDIN PREMIUM 5975  PLC REF-8816,standard_rate
DD PAYROLL TRANSFER 1455,outside_scope
SAGE SUBSCRIPTION 3707,standard_rate
POS UBER EATS 5874  ONLINE REF-2930,standard_rate
CARD LIDL GB 311 GLASGOW LTD,zero_rated
pos sainsburys  ltd,zero_rated
SQ *MICROSOFT 365 4200 MANCHESTER UK,standard_rate
CARD ROYAL MAIL 4593 LONDON PLC REF-7913,exempt
IZ *AVIVA INSURANCE 9879 MANCHESTER ONLINE,exempt
PAYMENT TO WATERSTONES 441 UK PLC,zero_rated
CARD AVIVA INSURANCE ONLINE,exempt
IZ *AMAZON KINDLE 2708  DIRECT REF-9977,zero_rated
iz *google workspace 8929 uk uk ref-6105,standard_rate
PAYMENT TO OCTOPUS ENERGY 8276 GLASGOW,reduced_rate
IZ *GOOGLE WORKSPACE BRISTOL UK REF-1708,standard_rate
Payment To Eon Next  Ref-3480,reduced_rate
SQ *EDF ENERGY 2718 ONLINE ONLINE,reduced_rate
card xero software 3389 leeds direct ref-2464,standard_rate
BARCLAYS BANK 3247  REF-9871,exempt
POS POST OFFICE 8129 GLASGOW,exempt
CARD NATIONAL EXPRESS 2938 LONDON DIRECT,zero_rated
PAYMENT TO TFL TRAVEL ONLINE UK,zero_rated
POS TRAINLINE 8747  PLC REF-4179,zero_rated
IZ *TFL TRAVEL 7858  DIRECT REF-7326,zero_rated
SQ *OCTOPUS ENERGY  UK REF-7934,reduced_rate
AVIVA INSURANCE BIRMINGHAM REF-7667,exempt
SQ *ADOBE CREATIVE ONLINE LTD,standard_rate
dd intra account transfer leeds store ref-8743,outside_scope
HSBC BANK FEES UK STORE,exempt
iz *eon next 7858 uk ltd ref-9765,reduced_rate
CARD LNER TICKETS 5448 MANCHESTER DIRECT REF-7463,zero_rated
POS EDF ENERGY 9388  STORE,reduced_rate
iz *waterstones 4759 london,zero_rated
POS HMRC PAYMENTS 3995  REF-7636,outside_scope
dd hsbc bank fees online plc,exempt
Card Linkedin Premium 4983  Store,standard_rate
IZ *HMRC PAYMENTS 3868  ONLINE REF-4631,outside_scope
Payment To Octopus Energy Manchester,reduced_rate
Iz *Tesco Express 6521 Bristol Plc,zero_rated
pos boots uk leeds plc,standard_rate
DD AMAZON EU 4596  ONLINE,standard_rate
POS HSBC BANK FEES 6287  DIRECT REF-9063,exempt
PAYMENT TO BARCLAYS BANK 7207 GLASGOW DIRECT,exempt
SQ *ROYAL MAIL 3467 MANCHESTER STORE,exempt
CARD QUICKBOOKS 1736 MANCHESTER UK REF-6079,standard_rate
Sainsburys 3570  Uk Ref-2922,zero_rated
IZ *HMRC PAYMENTS 2677 UK STORE,outside_scope
DD AMAZON KINDLE 4845  STORE,zero_rated
payment to tesco stores online uk ref-7381,zero_rated
IZ *LINKEDIN PREMIUM 6588 LONDON STORE REF-1616,standard_rate
POS AMAZON KINDLE  DIRECT REF-4094,zero_rated
CARD INTRA ACCOUNT TRANSFER 7746 UK LTD REF-1657,outside_scope
CARD BARCLAYS BANK 4757 LEEDS ONLINE REF-2158,exempt
CARD BOOTS UK 8407 BRISTOL ONLINE,standard_rate
Iz *Stationery Station 3124  Plc,standard_rate
Dd Amazon Kindle 835  Uk,zero_rated
POS LIDL GB LEEDS LTD,zero_rated
Card Barclays Bank  Uk,exempt
SQ *WATERSTONES 7258  PLC,zero_rated
DD PAYROLL TRANSFER  PLC,outside_scope
DD SAGE SUBSCRIPTION MANCHESTER PLC REF-3643,standard_rate
Sq *Tesco Express 5631  Store Ref-1674,zero_rated
IZ *TESCO STORES 4538  STORE,zero_rated
NATIONAL EXPRESS 7665  LTD,zero_rated
PAYMENT TO EON NEXT 6677 ONLINE STORE,reduced_rate
TFL TRAVEL MANCHESTER DIRECT REF-6332,zero_rated
dd westminster council 6321 manchester store ref-3197,outside_scope
DD UBER EATS 2022 BRISTOL STORE,standard_rate
iz *uber eats uk ltd ref-1506,standard_rate
pos quickbooks 4773 bristol ltd ref-4179,standard_rate
Payment To Amazon Uk Online Plc,standard_rate
DD TRAINLINE 4517 UK ONLINE,zero_rated
POS DIRECTOR DRAWINGS  LTD,outside_scope
pos national express bristol online,zero_rated
OCTOPUS ENERGY LEEDS,reduced_rate
CARD BRITISH GAS 4483 LEEDS,reduced_rate
IZ *AMAZON UK 2099  ONLINE,standard_rate
iz *intra account transfer 5705  direct,outside_scope
SQ *MICROSOFT 365 2455  DIRECT,standard_rate
sq *stationery station 5651 london,standard_rate
sq *british gas 3295 uk direct ref-5801,reduced_rate
PAYMENT TO EDF ENERGY 4528  DIRECT REF-6499,reduced_rate
POS HMRC SHIPLEY ONLINE DIRECT,outside_scope
SAGE SUBSCRIPTION 9113  REF-6906,standard_rate
iz *sainsburys 4002  uk,zero_rated
CARD WATERSTONES 5488  LTD,zero_rated
PAYMENT TO LNER TICKETS 5613 BIRMINGHAM DIRECT REF-1887,zero_rated
PAYMENT TO DELIVEROO ONLINE UK,standard_rate
CARD HMRC PAYMENTS 9410 MANCHESTER DIRECT,outside_scope
PAYMENT TO STATIONERY STATION 8209  UK,standard_rate
iz *xero software online plc,standard_rate
Dd Hsbc Bank Fees  Uk,exempt
DD EON NEXT 5940 MANCHESTER UK,reduced_rate
POST OFFICE 5407 MANCHESTER REF-5550,exempt
POS AMAZON UK 2506  REF-8310,standard_rate
POS POST OFFICE 1725  PLC REF-4524,exempt
IZ *UBER EATS 3582 ONLINE UK REF-7810,standard_rate
payment to linkedin premium 4937  ltd,standard_rate
TRAINLINE ONLINE ONLINE,zero_rated
CARD AMAZON UK 5691 LONDON UK,standard_rate
DD AVIVA INSURANCE UK ONLINE REF-8354,exempt
PAYMENT TO XERO SOFTWARE 3329 GLASGOW UK,standard_rate
Card Stationery Station 8771  Uk,standard_rate
Iz *Aldi Stores 8463 Bristol Online,zero_rated
CARD EDF ENERGY  STORE,reduced_rate
DD ASDA SUPERMARKET 7569 BRISTOL LTD REF-9587,zero_rated
PAYMENT TO AMAZON UK 8879 MANCHESTER PLC,standard_rate
DD SAINSBURYS 6538  UK REF-6345,zero_rated
BOOTS UK GLASGOW PLC,standard_rate
CARD AVIVA INSURANCE  DIRECT,exempt
IZ *TRAINLINE  PLC,zero_rated
pos westminster council leeds direct ref-4646,outside_scope
POS UBER EATS LONDON REF-8490,standard_rate
SQ *LIDL GB 8679  PLC,zero_rated
Sq *Hsbc Bank Fees 5314  Direct Ref-1686,exempt
PAYMENT TO HSBC BANK FEES 7779 LONDON DIRECT,exempt
Iz *Amazon Uk 4761 Leeds Store Ref-3293,standard_rate
Payment To Director Drawings 7713 Leeds Uk Ref-3110,outside_scope
IZ *BARCLAYS BANK 8038  UK REF-2330,exempt
card hsbc bank fees birmingham ltd ref-3757,exempt
IZ *TFL TRAVEL 9398 LEEDS UK,zero_rated
ASDA SUPERMARKET 9539 ONLINE DIRECT,zero_rated
PAYMENT TO DIRECTOR DRAWINGS 7614  ONLINE,outside_scope
POS NATIONAL EXPRESS 2256 UK ONLINE REF-1110,zero_rated
POS TRAINLINE  STORE REF-4915,zero_rated
pos amazon eu 2432 leeds,standard_rate
DD BRITISH GAS 3047 GLASGOW UK,reduced_rate
payment to hsbc bank fees 5815  ltd ref-9077,exempt
DD DIRECTOR DRAWINGS 493 MANCHESTER,outside_scope
POS HSBC BANK FEES 8663 BRISTOL STORE REF-4300,exempt
Sage Subscription Leeds Plc,standard_rate
Sq *Aldi Stores  Ltd,zero_rated
CARD DIRECTOR DRAWINGS 1844 BIRMINGHAM ONLINE,outside_scope
SQ *EON NEXT 8050 ONLINE UK REF-9605,reduced_rate
PAYMENT TO PAYROLL TRANSFER BRISTOL PLC,outside_scope
UBER EATS 9280  STORE REF-9243,standard_rate
POS LNER TICKETS 4351  STORE,zero_rated
DD NATIONAL EXPRESS 9863  LTD,zero_rated
Dd Xero Software 4519  Online,standard_rate
DD NATIONAL EXPRESS 2793 MANCHESTER,zero_rated
POS MICROSOFT 365 3147 LONDON PLC,standard_rate
Dd Aa Breakdown  Direct Ref-6964,exempt
DD TESCO STORES LONDON,zero_rated
Sq *Linkedin Premium Online Ltd Ref-9698,standard_rate
Iz *Westminster Council 8053  Uk,outside_scope
PAYMENT TO BARCLAYS BANK  LTD REF-8277,exempt
POS BOOTS UK MANCHESTER ONLINE,standard_rate
POS GOOGLE WORKSPACE LEEDS,standard_rate
SQ *OCTOPUS ENERGY BRISTOL UK,reduced_rate
sq *payroll transfer  online ref-1615,outside_scope
PAYROLL TRANSFER 3769  STORE REF-8711,outside_scope
POS TFL TRAVEL UK UK REF-5601,zero_rated
DD TESCO STORES 3073 UK DIRECT REF-8141,zero_rated
Pos Amazon Uk 7174  Uk Ref-9121,standard_rate
amazon uk leeds store,standard_rate
CARD NATIONAL EXPRESS GLASGOW STORE REF-9265,zero_rated
LIDL GB 1280  STORE,zero_rated
POS ROYAL MAIL 158 BRISTOL DIRECT,exempt
card aviva insurance manchester online ref-8795,exempt
DD TESCO STORES UK ONLINE,zero_rated
SQ *STATIONERY STATION,standard_rate
PAYMENT TO PAYROLL TRANSFER  ONLINE REF-9583,outside_scope
dd xero software 7758 leeds,standard_rate
DD WATERSTONES  UK,zero_rated
IZ *AMAZON KINDLE 6628 LEEDS UK,zero_rated
CARD ALDI STORES 8474 BRISTOL DIRECT,zero_rated
POS AVIVA INSURANCE LEEDS PLC,exempt
WATERSTONES 5765 BRISTOL DIRECT,zero_rated
IZ *ASDA SUPERMARKET BIRMINGHAM REF-5140,zero_rated
IZ *ASDA SUPERMARKET LONDON UK,zero_rated
dd amazon kindle 8644 bristol direct,zero_rated
CARD NATIONAL EXPRESS 4712 UK LTD,zero_rated
Payment To Trainline 2177 Manchester Ltd Ref-4764,zero_rated
PAYMENT TO TESCO STORES 3828  UK,zero_rated
POS DELIVEROO 2221 UK UK,standard_rate
SQ *AVIVA INSURANCE 9891 LEEDS UK REF-2602,exempt
IZ *INTRA ACCOUNT TRANSFER 9731  UK REF-4243,outside_scope
POS LINKEDIN PREMIUM 1002 BRISTOL PLC,standard_rate
SQ *BRITISH GAS 4446 LEEDS DIRECT,reduced_rate
SQ *ALDI STORES LEEDS PLC,zero_rated
CARD HMRC PAYMENTS 6044 ONLINE REF-1489,outside_scope
Card Xero Software Manchester Ltd,standard_rate
WATERSTONES 7294 BRISTOL PLC REF-3018,zero_rated
Dd Hsbc Bank Fees Uk Direct Ref-7447,exempt
DD TESCO EXPRESS BIRMINGHAM PLC REF-2657,zero_rated
DD TFL TRAVEL GLASGOW LTD,zero_rated
Sq *Octopus Energy 9288,reduced_rate
PAYMENT TO ADOBE CREATIVE 255 LONDON LTD REF-7864,standard_rate
IZ *LIDL GB 2000,zero_rated
card british gas 6100  online,reduced_rate
CARD SAGE SUBSCRIPTION 2733 ONLINE PLC REF-7517,standard_rate
SQ *DELIVEROO 1397  UK REF-3636,standard_rate
POS ALDI STORES 8971 UK LTD REF-8901,zero_rated
POS HMRC SHIPLEY ONLINE PLC REF-6512,outside_scope
DD MICROSOFT 365 4791  REF-8840,standard_rate
Pos Microsoft 365 4781,standard_rate
PAYMENT TO MICROSOFT 365 7821  ONLINE REF-1953,standard_rate
Pos Westminster Council 1787 Manchester Ref-6155,outside_scope
sq *hmrc payments 7543  online ref-8259,outside_scope
SQ *ALDI STORES 1567 UK UK,zero_rated
pos aa breakdown glasgow plc,exempt
HMRC SHIPLEY 3515 BIRMINGHAM REF-1421,outside_scope
PAYMENT TO INTRA ACCOUNT TRANSFER  UK REF-1757,outside_scope
Pos Amazon Eu Birmingham Ltd,standard_rate
CARD MICROSOFT 365 6271 GLASGOW STORE,standard_rate
CARD GOOGLE WORKSPACE GLASGOW UK,standard_rate
SQ *TESCO STORES 3190 UK REF-4912,zero_rated
Dd Eon Next 5898,reduced_rate
PAYMENT TO SAGE SUBSCRIPTION  PLC REF-1992,standard_rate
TFL TRAVEL 3881  LTD REF-8208,zero_rated
DD PAYROLL TRANSFER 3884 UK UK,outside_scope
DIRECTOR DRAWINGS 490  PLC,outside_scope
iz *hsbc bank fees 4974  ref-3167,exempt
IZ *AMAZON KINDLE LONDON ONLINE,zero_rated
SQ *POST OFFICE 9197  LTD REF-5245,exempt
EDF ENERGY 1024 GLASGOW UK,reduced_rate
Payment To Aa Breakdown 1576 Bristol Store,exempt
payment to deliveroo 2571 london ref-3919,standard_rate
IZ *SAGE SUBSCRIPTION 1165  UK REF-8643,standard_rate
IZ *XERO SOFTWARE 6946 BIRMINGHAM LTD REF-3938,standard_rate
CARD TESCO STORES ONLINE LTD,zero_rated
Card Google Workspace  Online,standard_rate
CARD UBER EATS 6087  UK REF-9275,standard_rate
Card Post Office  Ltd,exempt
CARD TFL TRAVEL 4783  UK,zero_rated
DD MICROSOFT 365 6037 LEEDS UK REF-4964,standard_rate
EON NEXT,reduced_rate
POS NATIONAL EXPRESS  UK REF-8431,zero_rated
CARD ASDA SUPERMARKET 851 MANCHESTER DIRECT,zero_rated
card stationery station 5817  ltd ref-7841,standard_rate
CARD TESCO STORES 3780 LEEDS LTD REF-3414,zero_rated
SQ *BRITISH GAS 2065 BRISTOL PLC,reduced_rate
ADOBE CREATIVE MANCHESTER STORE,standard_rate
SQ *WESTMINSTER COUNCIL ONLINE LTD,outside_scope
Iz *Tfl Travel 8027  Ltd Ref-3919,zero_rated
DD HSBC BANK FEES 6683 LONDON LTD REF-8833,exempt
IZ *AVIVA INSURANCE 1726 ONLINE PLC REF-5009,exempt
POS HSBC BANK FEES  DIRECT,exempt
SQ *LINKEDIN PREMIUM 9509 MANCHESTER LTD,standard_rate
SQ *ALDI STORES 9929 BIRMINGHAM DIRECT,zero_rated
CARD MICROSOFT 365 LONDON STORE REF-6528,standard_rate
SQ *AMAZON KINDLE 5552 MANCHESTER ONLINE REF-2059,zero_rated
iz *tesco stores 706 birmingham,zero_rated
POS ROYAL MAIL 7280  STORE REF-5820,exempt
SQ *BRITISH GAS BIRMINGHAM UK,reduced_rate
POS WESTMINSTER COUNCIL 4810 BRISTOL STORE,outside_scope
Sq *Quickbooks London Store,standard_rate
Payment To Sage Subscription London Store Ref-4011,standard_rate
CARD AMAZON KINDLE 7903 LEEDS DIRECT REF-3016,zero_rated
DD ASDA SUPERMARKET 9092 LONDON ONLINE,zero_rated
SQ *EDF ENERGY 9081 GLASGOW PLC REF-7688,reduced_rate
Card Lner Tickets 3662  Online,zero_rated
SQ *ASDA SUPERMARKET 9482 BRISTOL LTD,zero_rated
SQ *EON NEXT 3897,reduced_rate
SQ *LIDL GB 8830  REF-8405,zero_rated
Pos Payroll Transfer 9362 London Plc Ref-5395,outside_scope
Iz *Waterstones 5237  Ltd Ref-8387,zero_rated
iz *hmrc shipley 4597 birmingham plc ref-6816,outside_scope
Sq *Director Drawings Bristol Store,outside_scope
PAYMENT TO LNER TICKETS 4218 LEEDS PLC REF-9879,zero_rated
DD TRAINLINE 1659 MANCHESTER STORE REF-6468,zero_rated
Trainline 8964  Plc,zero_rated
CARD DELIVEROO BRISTOL UK REF-3383,standard_rate
iz *aldi stores manchester plc ref-8197,zero_rated
PAYMENT TO ADOBE CREATIVE 4721  PLC,standard_rate
IZ *BARCLAYS BANK ONLINE LTD REF-4744,exempt
IZ *ALDI STORES 5331  DIRECT,zero_rated
POS LNER TICKETS  ONLINE,zero_rated
IZ *EON NEXT 1134  REF-7988,reduced_rate
Card Aldi Stores 2362  Store Ref-2951,zero_rated
PAYMENT TO STATIONERY STATION 2842  PLC REF-4741,standard_rate
IZ *MICROSOFT 365 UK PLC REF-3745,standard_rate
IZ *ROYAL MAIL  UK REF-1923,exempt
Dd National Express 1617 London Plc,zero_rated
DD STATIONERY STATION LEEDS ONLINE,standard_rate
PAYMENT TO AA BREAKDOWN 9896  STORE,exempt
PAYMENT TO ASDA SUPERMARKET  DIRECT REF-4366,zero_rated
card aa breakdown  direct ref-3633,exempt
Card Sainsburys 3800 Leeds Direct,zero_rated
STATIONERY STATION 5480 MANCHESTER LTD,standard_rate
DD DELIVEROO 9867 GLASGOW LTD REF-5586,standard_rate
CARD TESCO EXPRESS 2298 UK UK REF-8668,zero_rated
POS WESTMINSTER COUNCIL 7298  STORE,outside_scope
dd barclays bank bristol plc,exempt
DD WATERSTONES 7029,zero_rated
SQ *AA BREAKDOWN 8114,exempt
BRITISH GAS 4738 MANCHESTER,reduced_rate
CARD LNER TICKETS 5529 UK ONLINE,zero_rated
CARD POST OFFICE 1909 ONLINE ONLINE,exempt
card sage subscription 4541 leeds ltd ref-5191,standard_rate
POS LNER TICKETS 7038 MANCHESTER UK,zero_rated
POS LNER TICKETS 2364 BRISTOL STORE,zero_rated
SQ *INTRA ACCOUNT TRANSFER 8901 GLASGOW ONLINE,outside_scope
payment to director drawings,outside_scope
DD DELIVEROO 7221 LEEDS ONLINE REF-4197,standard_rate
payment to quickbooks 2326 birmingham direct,standard_rate
CARD AMAZON UK 3968  ONLINE,standard_rate
PAYMENT TO DIRECTOR DRAWINGS 4872 ONLINE PLC REF-3096,outside_scope
card deliveroo 4415  plc,standard_rate
Payment To Tesco Express London Plc Ref-4836,zero_rated
PAYMENT TO TFL TRAVEL UK STORE REF-1296,zero_rated
pos aviva insurance 5506 birmingham,exempt
Iz *Tesco Express 868 Online Plc Ref-7244,zero_rated
SQ *TESCO STORES 4781 BRISTOL DIRECT,zero_rated
Westminster Council Online Plc Ref-6367,outside_scope
SQ *ALDI STORES LONDON,zero_rated
DD BRITISH GAS 3803  LTD,reduced_rate
sq *aviva insurance 2724 birmingham uk,exempt
Payment To Barclays Bank 210 Bristol Plc,exempt
PAYMENT TO WESTMINSTER COUNCIL 2548 MANCHESTER PLC,outside_scope
SQ *BRITISH GAS 3709 GLASGOW PLC,reduced_rate
Dd Hsbc Bank Fees 9991 Birmingham Plc Ref-4484,exempt
payment to tesco express london ltd,zero_rated
Pos Lidl Gb 7370 Leeds Uk,zero_rated
CARD TRAINLINE 325 LEEDS LTD,zero_rated
IZ *MICROSOFT 365,standard_rate
IZ *EON NEXT 6056 LEEDS LTD REF-7528,reduced_rate
PAYMENT TO AVIVA INSURANCE 912  STORE REF-4513,exempt
SQ *HSBC BANK FEES 4528  UK,exempt
AA BREAKDOWN  LTD,exempt
IZ *TESCO EXPRESS 3624 MANCHESTER ONLINE,zero_rated
PAYMENT TO DELIVEROO ONLINE ONLINE,standard_rate
SAINSBURYS 3570  STORE,zero_rated
Payment To National Express 8091 London Ref-5707,zero_rated
POS LNER TICKETS 2029 GLASGOW,zero_rated
iz *lidl gb 998 glasgow ltd,zero_rated
POS STATIONERY STATION 6902  UK REF-6176,standard_rate
pos director drawings 4654  direct ref-5055,outside_scope
EDF ENERGY 757 ONLINE UK,reduced_rate
Payment To Google Workspace 7673 Online,standard_rate
CARD UBER EATS 6725 BRISTOL UK,standard_rate
IZ *SAINSBURYS LONDON REF-8230,zero_rated
DD POST OFFICE MANCHESTER,exempt
Pos Google Workspace 7571 Leeds Ltd,standard_rate
DD AMAZON KINDLE 6493 ONLINE DIRECT,zero_rated
sq *sainsburys 7331 london,zero_rated
PAYMENT TO LNER TICKETS 9619  UK REF-7523,zero_rated
POS WATERSTONES 6728  UK,zero_rated
SQ *SAGE SUBSCRIPTION 9931  DIRECT,standard_rate
SQ *MICROSOFT 365 5411 LONDON UK REF-4932,standard_rate
CARD BARCLAYS BANK 6332 ONLINE,exempt
SQ *EON NEXT  PLC,reduced_rate
sq *royal mail 4026 manchester plc ref-9538,exempt
POS DELIVEROO 3943  ONLINE,standard_rate
Payroll Transfer 4717  Ltd,outside_scope
DD EDF ENERGY 7909 LONDON LTD REF-3422,reduced_rate
IZ *QUICKBOOKS ONLINE UK REF-9799,standard_rate
LIDL GB 2717 UK PLC REF-1706,zero_rated
Royal Mail  Store,exempt
PAYMENT TO AMAZON EU 8302 BRISTOL PLC REF-7271,standard_rate
CARD TESCO EXPRESS 2978  LTD,zero_rated
POS STATIONERY STATION 6683 UK LTD,standard_rate
IZ *GOOGLE WORKSPACE 7502  LTD,standard_rate
POS AMAZON UK 2789 BRISTOL PLC,standard_rate
DD BOOTS UK 7443  ONLINE REF-6407,standard_rate
Sq *Tesco Stores 2542  Ltd,zero_rated
payment to amazon kindle 8854 london ltd ref-5001,zero_rated
pos amazon eu 1759  direct,standard_rate
Dd Waterstones 7156 Leeds Uk,zero_rated
AA BREAKDOWN 8173 UK STORE,exempt
PAYMENT TO TFL TRAVEL 6555 LONDON DIRECT REF-2378,zero_rated
Iz *Barclays Bank 4707 Uk Plc Ref-1264,exempt
Iz *Amazon Eu 2744  Plc,standard_rate
